ancient bleak bright brittle calm
careful charred clear clever cold
crooked crimson curious damp dark
distant drowsy dusty eager early
faint feral fierce flickering floral
forgotten fractured fragile gentle gilded
glassy golden grim hardy hidden
hollow hungry icy jagged lively
lonely luminous misty mossy muted
narrow nimble patient polished quiet
ragged restless rough sacred salted
scarlet shadowy shallow sharp silent
silver slender smoky solemn sparse
steady stormy strange sturdy sudden
sunlit swift thorny tranquil twisted
vacant verdant warm weary wild
windblown wistful worn youthful zealous
able abnormal absent-minded above-average adventurous
affectionate agile agreeable alert amazing
ambitious amiable amusing analytical angelic
apathetic apprehensive ardent artificial artistic
assertive attentive average awesome awful
balanced beautiful below-average beneficent blue
blunt boisterous brave brilliant buff
callous candid cantankerous capable careless
caustic cautious charming childish childlike
cheerful chic churlish circumspect civil
clean clumsy coherent competent composed
conceited condescending confident confused conscientious
considerate content cool cool-headed cooperative
cordial courageous cowardly crabby crafty
cranky crass critical cruel cynical
dainty decisive deep deferential deft
delicate demonic dependent delightful demure
depressed devoted dextrous diligent direct
dirty disagreeable discerning discreet disruptive
distraught distrustful dowdy dramatic dreary
drugged drunk dull dutiful earnest
easy-going efficient egotistical elfin emotional
energetic enterprising enthusiastic evasive even-tempered
exacting excellent excitable experienced fabulous
fastidious ferocious fervent fiery flabby
flaky flashy frank friendly funny
fussy generous gloomy glutinous good
grave great groggy grouchy guarded
hateful hearty helpful hesitant hot-headed
hypercritical hysterical idiotic idle illogical
imaginative immature immodest impatient imperturbable
impetuous impractical impressionable impressive impulsive
inactive incisive incompetent inconsiderate inconsistent
independent indiscreet indolent indefatigable industrious
inexperienced insensitive inspiring intelligent interesting
intolerant inventive irascible irritable irritating
jocular jovial joyous judgmental keen
kind lame lazy lean leery
lethargic level-headed listless lithe local
logical long-winded lovable love-lorn lovely
maternal mature mean meddlesome mercurial
methodical meticulous mild miserable modest
moronic morose motivated musical naive
nasty natural naughty negative nervous
noisy normal nosy numb obliging
obnoxious old-fashioned one-sided orderly ostentatious
outgoing outspoken passionate passive paternal
paternalistic peaceful peevish pensive persevering
persnickety petulant picky plain plain-speaking
playful pleasant plucky polite popular
positive powerful practical prejudiced pretty
proficient proud provocative prudent punctual
quarrelsome querulous quick quick-tempered realistic
reassuring reclusive reliable reluctant resentful
reserved resigned resourceful respected respectful
responsible revered ridiculous sad sassy
saucy sedate self-assured selfish sensible
sensitive sentimental serene serious short-tempered
shrewd shy silly sincere sleepy
slight sloppy slothful slovenly slow
smart snazzy sneering snobby somber
sober sophisticated soulful soulless sour
spirited spiteful stable staid stern
stoic striking strong stupid subtle
sullen sulky supercilious superficial surly
suspicious sweet tactful tactless talented
testy thinking thoughtful thoughtless timid
tired tolerant touchy ugly unaffected
unbalanced uncertain uncooperative undependable unemotional
unfriendly unguarded unhelpful unimaginative unmotivated
unpleasant unpopular unreliable unsophisticated unstable
unsure unthinking unwilling venal versatile
vigilant warmhearted wary watchful weak
well-behaved well-developed well-intentioned well-respected well-rounded
willing wonderful volcanic vulnerable aristotelian
arthurian bohemian brethren mosaic oceanic
proctor terran tudor abroad absorbing
abstract academic accelerated accented accountant
acquainted acute addicting addictive adjustable
admired adult adverse advised aerosol
afraid aggravated aggressive alienate aligned
all-round alleged almond alright altruistic
ambient ambivalent amino amorphous amused
